gene,KOG
Pseudodiploria200329,NA
Pseudodiploria200401,GTPase activity
Pseudodiploria200701,Helicase
Pseudodiploria200917,NA
Pseudodiploria201216,subunit of the oligosaccharyltransferase complex
Pseudodiploria201258,Poly (ADP-ribose) polymerase
Pseudodiploria201662,negative regulation of dense core granule exocytosis
Pseudodiploria201699,Pantothenate kinase
Pseudodiploria201832,NA
Pseudodiploria201995,protein kinase regulator activity
Pseudodiploria202299,chaperone mediated protein folding independent of cofactor
Pseudodiploria202583,unfolded protein binding
Pseudodiploria202729,peroxidase activity
Pseudodiploria202916,Solute carrier family 12
Pseudodiploria203017,positive regulation of maintenance of mitotic sister chromatid cohesion
Pseudodiploria203350,poly(G) binding
Pseudodiploria203705,"protein complex 3, delta 1 subunit"
Pseudodiploria203737,NA
Pseudodiploria203775,Cleavage and polyadenylation
Pseudodiploria203879,NA
Pseudodiploria203983,polycystic kidney disease protein 1-like
Pseudodiploria204567,Chromodomain helicase DNA binding protein 1
Pseudodiploria204723,trans-L-3-hydroxyproline dehydratase activity
Pseudodiploria205012,RNA recognition motif
Pseudodiploria205055,cilium movement involved in cell motility
Pseudodiploria205124,NA
Pseudodiploria205158,NA
Pseudodiploria205162,NA
Pseudodiploria205213,Zinc finger protein
Pseudodiploria205306,positive regulation of mitotic centrosome separation
Pseudodiploria205518,NA
Pseudodiploria293394,NA
Pseudodiploria37249,NA
Pseudodiploria54417,NA
Pseudodiploria62723,NA
Pseudodiploria71545,NA
Pseudodiploria73864,NA
Pseudodiploria74531,NA
Pseudodiploria89810,NA
Pseudodiploria94476,NA
Pseudodiploria95707,NA
