gene,KOG
Acropora_000805,LIM and senescent cell antigen-like-containing domain protein
Acropora_000817,Belongs to the heat shock protein 70 family
Acropora_000834,sequence
Acropora_000860,NA
Acropora_000867,methylation-dependent chromatin silencing
Acropora_000875,NA
Acropora_000879,sequence-specific DNA binding
Acropora_000880,NA
Acropora_000888,NA
Acropora_000889,NA
Acropora_000942,NA
Acropora_000968,NA
Acropora_000970,NA
Acropora_000989,Myb/SANT-like DNA-binding domain
Acropora_001000,calcium ion binding
Acropora_001102,NA
Acropora_001111,positive regulation of rRNA processing
Acropora_001114,ATP-dependent RNA helicase DDX59
Acropora_001119,negative regulation of store-operated calcium channel activity
Acropora_001130,"solute carrier family 30 (zinc transporter), member"
Acropora_001140,NA
Acropora_001148,positive regulation of AMPA glutamate receptor clustering
Acropora_001158,malectin
Acropora_001176,Leucine-rich repeat
Acropora_001252,metal ion binding
Acropora_001260,NA
Acropora_001278,NA
Acropora_001289,NA
Acropora_001297,RNA splicing
Acropora_001304,NA
Acropora_001312,axonogenesis involved in innervation
Acropora_001313,carbohydrate binding
Acropora_001322,Receptor expression-enhancing protein
Acropora_001336,nucleic acid binding
Acropora_001337,G-protein coupled receptor activity
Acropora_001377,NA
Acropora_001406,NA
Acropora_001436,NA
Acropora_001462,NA
Acropora_001507,NA
Acropora_001521,NA
Acropora_001522,NA
Acropora_001532,high mobility group
Acropora_001572,NA
Acropora_001582,NA
Acropora_001606,Belongs to the PI3 PI4-kinase family
Acropora_001607,Belongs to the PI3 PI4-kinase family
Acropora_001609,Pleckstrin homology domain.
Acropora_001613,zinc ion binding
Acropora_001617,nucleotide-excision repair
Acropora_001630,Katanin p60 ATPase-containing subunit A-like
Acropora_001637,NA
Acropora_001641,NA
Acropora_001643,sorting nexin
Acropora_001666,"Deafness, autosomal recessive"
Acropora_001690,NA
Acropora_001700,NA
Acropora_001704,NA
Acropora_001748,RNA splicing
Acropora_001753,digestion
Acropora_001763,NA
Acropora_001766,TCDD-inducible
Acropora_001769,NA
Acropora_001776,NA
Acropora_001788,NA
Acropora_001850,reverse transcriptase
Acropora_001869,Dolichol phosphate-mannose biosynthesis regulatory protein
Acropora_001878,NA
Acropora_001882,NA
Acropora_001894,GTPase activator activity
Acropora_001910,NA
Acropora_001911,NA
Acropora_001934,negative regulation of protein localization to cell cortex
Acropora_001937,NA
Acropora_001943,NA
Acropora_001958,HAD-hyrolase-like
Acropora_001962,Sulfotransferase family
Acropora_001966,TeTratriCopeptide repeat
Acropora_001974,Lysin motif
Acropora_002011,spinal cord association neuron differentiation
Acropora_002032,vesicle-associated membrane protein 4
Acropora_002049,NA
Acropora_002056,DNL zinc finger
Acropora_002060,endoplasmic reticulum calcium ion homeostasis
Acropora_002067,ribosomal large subunit assembly
Acropora_002082,regulation of acid-sensing ion channel activity
Acropora_002083,transmembrane receptor protein tyrosine kinase signaling pathway
Acropora_002089,NA
Acropora_002126,ribosomal small subunit assembly
Acropora_002146,mitochondrial translation
Acropora_002152,Major Facilitator Superfamily
Acropora_002161,NA
Acropora_002200,NA
Acropora_002223,Cell division cycle 73
Acropora_002230,"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
Acropora_002233,serotonin receptor activity
Acropora_002238,serotonin receptor activity
Acropora_002269,chondroitin 4-sulfotransferase activity
Acropora_002270,chondroitin 4-sulfotransferase activity
Acropora_002271,acetyl-CoA hydrolase activity
Acropora_002285,ion transport
Acropora_002294,NA
Acropora_002299,NA
Acropora_002331,nicotinamide phosphoribosyltransferase activity
Acropora_002343,NA
Acropora_002368,double-strand break repair via break-induced replication
Acropora_002383,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Can reduce H(2)O(2) and short chain organic, fatty acid, and phospholipid hydroperoxides. Also has phospholipase activity, and can therefore either reduce the oxidized sn-2 fatty acyl grup of phospholipids (peroxidase activity) or hydrolyze the sn-2 ester bond of phospholipids (phospholipase activity). These activities are dependent on binding to phospholipids at acidic pH and to oxidized phospholipds at cytosolic pH. Plays a role in cell protection against oxidative stress by detoxifying peroxides and in phospholipid homeostasis"
Acropora_002411,NA
Acropora_002414,NA
Acropora_002428,NA
Acropora_002461,nervous system development
Acropora_002463,serotonin receptor activity
Acropora_002488,GTP-Rho binding
Acropora_002493,NA
Acropora_002549,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
Acropora_002550,tRNA (guanine(9)-N(1))-methyltransferase activity
Acropora_002554,NA
Acropora_002573,NA
Acropora_002576,"Family with sequence similarity 102, member B"
Acropora_002594,NA
Acropora_002597,NA
Acropora_002655,NA
Acropora_002657,NMDA receptor synaptonuclear signaling and neuronal migration factor
Acropora_002661,positive regulation of neuron projection development
Acropora_002675,NA
Acropora_002685,NA
Acropora_002713,Belongs to the cytochrome P450 family
Acropora_002716,dolichyldiphosphatase activity
Acropora_002726,NA
Acropora_002737,NA
Acropora_002779,regulation of histone H3-K36 trimethylation
Acropora_002784,NA
Acropora_002793,adenosine deaminase-like
Acropora_002805,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Acropora_002814,factor iib
Acropora_002845,NA
Acropora_002862,Regulator of chromosome condensation (RCC1) repeat
Acropora_002894,NA
Acropora_002898,NA
Acropora_002899,NA
Acropora_002931,NA
Acropora_002932,NA
Acropora_002977,NA
Acropora_002980,7 transmembrane receptor (rhodopsin family)
Acropora_002991,NA
Acropora_003004,NA
Acropora_003018,NA
Acropora_003024,Lipopolysaccharide kinase (Kdo/WaaP) family
Acropora_003028,NA
Acropora_003039,NA
Acropora_003046,NA
Acropora_003056,Mitogen-activated protein kinase kinase kinase kinase
Acropora_003077,"phosphatidylinositol-3,4-bisphosphate binding"
Acropora_003096,Domain of unknown function (DUF4513)
Acropora_003097,NA
Acropora_003101,NA
Acropora_003106,positive regulation of tooth mineralization
Acropora_003189,NA
Acropora_003213,NA
Acropora_003218,NA
Acropora_003226,RNA binding
Acropora_003228,RNA binding
Acropora_003240,Sorting nexin-20
Acropora_003247,"Family with sequence similarity 192, member A"
Acropora_003255,cilium assembly
Acropora_003275,dodecenoyl-CoA delta-isomerase activity
Acropora_003290,NA
Acropora_003296,"Coagulation factor 5/8 C-terminal domain, discoidin domain"
Acropora_003304,histamine-induced gastric acid secretion
Acropora_003307,Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
Acropora_003311,dynein intermediate chain binding
Acropora_003313,inorganic anion exchanger activity
Acropora_003314,NA
Acropora_003315,DNA-directed 5'-3' RNA polymerase activity
Acropora_003317,RAN binding protein
Acropora_003329,peptidase inhibitor activity
Acropora_003331,positive regulation of epithelial to mesenchymal transition
Acropora_003336,Putative DNA-binding domain
Acropora_003341,Calbindin 2a
Acropora_003347,AFG3-like protein
Acropora_003351,protein phosphatase regulator activity
Acropora_003377,motif protein 4B
Acropora_003383,lipid droplet organization
Acropora_003406,Transmembrane protein 55A
Acropora_003414,L-fucose kinase
Acropora_003436,positive regulation of cytoplasmic mRNA processing body assembly
Acropora_003437,Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament
Acropora_003439,NA
Acropora_003458,regulation of cell cycle
Acropora_003464,DNA replication factor
Acropora_003475,NA
Acropora_003480,NA
Acropora_003484,NA
Acropora_003507,Reverse transcriptase (RNA-dependent DNA polymerase)
Acropora_003521,NA
Acropora_003532,heme binding
Acropora_003535,Ankyrin repeat
Acropora_003542,tRNA threonylcarbamoyladenosine metabolic process
Acropora_003544,NA
Acropora_003580,Protein tyrosine kinase
Acropora_003581,NA
Acropora_003585,Protein tyrosine kinase
Acropora_003624,NA
Acropora_003638,G-protein coupled receptor activity
Acropora_003643,NA
Acropora_003645,A Receptor for Ubiquitination Targets
Acropora_003646,NA
Acropora_003664,Methionine gamma-lyase
Acropora_003667,positive regulation of natural killer cell degranulation
Acropora_003687,NA
Acropora_003688,glucan metabolic process
Acropora_003689,NA
Acropora_003693,positive regulation of epithelial to mesenchymal transition
Acropora_003696,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Acropora_003706,arachidonate 5-lipoxygenase activity
Acropora_003707,arachidonate 5-lipoxygenase
Acropora_003736,Appr-1'-p processing enzyme
Acropora_003739,zinc ion binding
Acropora_003749,NA
Acropora_003755,NA
Acropora_003759,Belongs to the bZIP family
Acropora_003768,NA
Acropora_003773,NA
Acropora_003776,Belongs to the DHHC palmitoyltransferase family
Acropora_003785,NA
Acropora_003786,NA
Acropora_003787,iron-sulfur cluster assembly
Acropora_003795,-
Acropora_003823,biological adhesion
Acropora_003843,positive regulation of non-canonical Wnt signaling pathway via JNK cascade
Acropora_003857,Interferon-inducible GTPase
Acropora_003872,TBC LysM-associated domain containing 1
Acropora_003884,"Splicing factor 3b, subunit 3"
Acropora_003890,NA
Acropora_003905,NA
Acropora_003930,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
Acropora_003951,NA
Acropora_003963,NA
Acropora_003969,NA
Acropora_003976,protein serine/threonine kinase activity
Acropora_003987,gamma-aminobutyric acid:sodium symporter activity
Acropora_003989,zinc ion binding
Acropora_004004,CTD nuclear envelope phosphatase 1 regulatory subunit 1
Acropora_004005,modification-dependent protein catabolic process
Acropora_004015,trimming of terminal mannose on B branch
Acropora_004038,NA
Acropora_004043,Charged multivesicular body protein
Acropora_004047,NA
Acropora_004053,NA
Acropora_004060,protein targeting to lysosome
Acropora_004093,NA
Acropora_004111,WD repeat-containing protein 88
Acropora_004121,Belongs to the peptidase C19 family
Acropora_004130,Pyruvate Dehydrogenase Phosphatase Regulatory subunit
Acropora_004147,NA
Acropora_004166,-
Acropora_004168,rRNA processing
Acropora_004171,NA
Acropora_004188,SUMO activating enzyme activity
Acropora_004196,GPI anchor biosynthetic process
Acropora_004212,galanin-activated signaling pathway
Acropora_004213,protein-cysteine S-acyltransferase activity
Acropora_004215,NA
Acropora_004217,sperm flagellum movement
Acropora_004219,NA
Acropora_004243,NA
Acropora_004271,NA
Acropora_004285,NA
Acropora_004335,reverse transcriptase
Acropora_004350,"beta-1,4-N-acetylgalactosaminyltransferase 3"
Acropora_004371,peptidase M20
Acropora_004372,NA
Acropora_004376,NA
Acropora_004400,Interferon-inducible GTPase 5-like
Acropora_004408,NA
Acropora_004410,negative regulation of insulin receptor signaling pathway
Acropora_004427,NA
Acropora_004437,NA
Acropora_004455,prolyl 4-hydroxylase
Acropora_004459,prolyl 4-hydroxylase
Acropora_004464,prolyl 4-hydroxylase
Acropora_004474,cilium assembly
Acropora_004480,NA
Acropora_004491,RmlD substrate binding domain
Acropora_004495,NA
Acropora_004522,CS domain
Acropora_004574,negative regulation of SNARE complex assembly
Acropora_004594,Jumonji and AT-rich interaction domain containing 2
Acropora_004668,G-protein coupled receptor activity
Acropora_004674,G-protein coupled receptor activity
Acropora_004693,Reverse transcriptase (RNA-dependent DNA polymerase)
Acropora_004703,and Sec7
Acropora_004705,Inhibitor of nuclear factor kappa-B kinase subunit
Acropora_004727,NA
Acropora_004809,NA
Acropora_004813,NA
Acropora_004827,NA
Acropora_004830,N-box binding
Acropora_004842,NA
Acropora_004853,ATP-dependent protein binding
Acropora_004855,NA
Acropora_004865,heparin binding
Acropora_004870,extracellularly glutamate-gated ion channel activity
Acropora_004898,histidine transport
Acropora_004912,NA
Acropora_004929,NA
Acropora_004940,NA
Acropora_004952,NA
Acropora_004967,NA
Acropora_005146,NA
Acropora_005252,NA
Acropora_005255,NA
Acropora_005260,intra-S DNA damage checkpoint
Acropora_005269,NA
Acropora_005279,K02A2.6-like
Acropora_005288,NA
Acropora_005295,NA
Acropora_005375,NA
Acropora_005388,NA
Acropora_005390,NA
Acropora_005424,cell separation after cytokinesis
Acropora_005439,Belongs to the argonaute family
Acropora_005449,NA
Acropora_005452,NA
Acropora_005455,NA
Acropora_005470,NA
Acropora_005471,NA
Acropora_005472,NA
Acropora_005474,NA
Acropora_005482,phospholipase
Acropora_005488,NA
Acropora_005504,negative regulation of brain-derived neurotrophic factor receptor signaling pathway
Acropora_005512,NA
Acropora_005517,assembly factor 1
Acropora_005538,NA
Acropora_005614,NA
Acropora_005636,NA
Acropora_005679,NA
Acropora_005683,NA
Acropora_005688,NA
Acropora_005689,positive regulation of Arp2/3 complex-mediated actin nucleation
Acropora_005699,Belongs to the peptidase S1 family
Acropora_005708,NA
Acropora_005715,"Glutathione S-transferase, C-terminal domain"
Acropora_005721,G-protein coupled receptor activity
Acropora_005726,L-gulonolactone oxidase-like
Acropora_005759,Tachykinin receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Acropora_005762,NMDA glutamate receptor activity
Acropora_005774,NA
Acropora_005809,establishment or maintenance of actin cytoskeleton polarity
Acropora_005819,Protein similar to CwfJ C-terminus 1
Acropora_005820,NA
Acropora_005821,NA
Acropora_005825,It is involved in the biological process described with transmembrane transport
Acropora_005826,Limb and CNS expressed 1
Acropora_005832,microtubule associated serine threonine
Acropora_005836,NA
Acropora_005841,NA
Acropora_005847,NA
Acropora_005859,NA
Acropora_005877,Belongs to the eIF-2B alpha beta delta subunits family. MtnA subfamily
Acropora_005892,run and fyve
Acropora_005895,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)"
Acropora_005897,"THAP domain containing, apoptosis associated protein 3"
Acropora_005901,NA
Acropora_005919,NA
Acropora_005920,N-acetyl-beta-D-galactosaminidase activity
Acropora_005921,Protein family FAM199X
Acropora_005924,NA
Acropora_005927,Belongs to the AAA ATPase family
Acropora_005943,pre-mRNA 5'-splice site binding
Acropora_005946,NA
Acropora_006001,NA
Acropora_006033,6-phosphofructo-2-kinase activity
Acropora_006037,MAP kinase tyrosine/serine/threonine phosphatase activity
Acropora_006055,organic anion transmembrane transporter activity
Acropora_006063,NA
Acropora_006069,organic anion transmembrane transporter activity
Acropora_006084,guanylate cyclase activity
Acropora_006090,negative regulation of bile acid biosynthetic process
Acropora_006127,Metallopeptidase family M24
Acropora_006129,NA
Acropora_006142,serine-type endopeptidase inhibitor activity
Acropora_006143,NA
Acropora_006159,ephrin receptor binding
Acropora_006173,Rad21 rec8 n terminal
Acropora_006179,NA
Acropora_006197,cell surface pattern recognition receptor signaling pathway
Acropora_006220,NA
Acropora_006221,protein ubiquitination
Acropora_006224,Bcl-2 adenovirus E1B
Acropora_006241,Serine active site containing 1
Acropora_006242,phosphoprotein phosphatase activity
Acropora_006259,"Family with sequence similarity 204, member A"
Acropora_006272,histone H4-K16 acetylation
Acropora_006284,BTB POZ domain-containing protein
Acropora_006286,pyridoxal phosphate binding
Acropora_006297,Nitric oxide associated 1
Acropora_006306,snoRNA binding
Acropora_006336,NA
Acropora_006346,L-seryl-tRNA(Sec) kinase
Acropora_006347,"proton-transporting ATPase activity, rotational mechanism"
Acropora_006356,NA
Acropora_006362,nucleic acid-templated transcription
Acropora_006370,NA
Acropora_006372,NA
Acropora_006392,RNA splicing
Acropora_006415,Histone H2B
Acropora_006431,positive regulation of smoothened signaling pathway
Acropora_006433,"zinc finger, RAN-binding domain containing"
Acropora_006445,Domain of unknown function (DUF4517)
Acropora_006447,Belongs to the protein kinase superfamily. AGC Ser Thr protein kinase family. GPRK subfamily
Acropora_006453,plasma membrane repair
Acropora_006475,NA
Acropora_006502,third ventricle development
Acropora_006506,Topoisomerase (DNA) II binding protein 1
Acropora_006507,NA
Acropora_006526,NA
Acropora_006528,succinate-CoA ligase (GDP-forming) activity
Acropora_006529,Cadherin EGF LAG seven-pass G-type receptor
Acropora_006532,G-protein coupled receptor activity
Acropora_006549,mediator complex binding
Acropora_006552,Sortilin-related VPS10 domain containing receptor
Acropora_006566,NA
Acropora_006569,Ion channel
Acropora_006572,Ion channel
Acropora_006575,positive regulation of epithelial to mesenchymal transition
Acropora_006579,Homeodomain
Acropora_006594,NA
Acropora_006598,regulation of mitotic metaphase/anaphase transition
Acropora_006623,Eukaryotic peptide chain release factor subunit
Acropora_006626,G-protein coupled receptor activity
Acropora_006634,LIM domain-binding protein
Acropora_006671,Gamma-aminobutyric acid type B receptor subunit 2
Acropora_006693,7 transmembrane receptor (rhodopsin family)
Acropora_006718,Histidine phosphatase superfamily (branch 2)
Acropora_006726,Belongs to the peptidase C1 family
Acropora_006730,Ras family
Acropora_006750,replication fork processing
Acropora_006754,NA
Acropora_006758,G-protein coupled receptor activity
Acropora_006785,tachykinin receptor activity
Acropora_006793,Heparanase
Acropora_006795,cell septum assembly
Acropora_006808,cullin family protein binding
Acropora_006827,NA
Acropora_006833,7 transmembrane receptor (rhodopsin family)
Acropora_006839,serine-type endopeptidase activity
Acropora_006844,reverse transcriptase
Acropora_006845,uroporphyrinogen III biosynthetic process
Acropora_006867,Disintegrin and metalloproteinase domain-containing protein 12
Acropora_006885,inositol-polyphosphate 5-phosphatase activity
Acropora_006889,"3',5'-cyclic-GMP phosphodiesterase activity"
Acropora_006940,peptidase inhibitor activity
Acropora_006941,NA
Acropora_006952,Major Vault Protein repeat
Acropora_006960,NA
Acropora_006980,NA
Acropora_006982,NA
Acropora_006988,translation release factor activity
Acropora_007010,macrophage erythroblast attacher
Acropora_007015,NA
Acropora_007037,histone H2A-K119 monoubiquitination
Acropora_007038,aminopeptidase activity
Acropora_007042,peptidase inhibitor activity
Acropora_007047,NA
Acropora_007051,NA
Acropora_007139,NA
Acropora_007155,NA
Acropora_007164,NA
Acropora_007196,NA
Acropora_007208,NA
Acropora_007246,NA
Acropora_007259,positive regulation of epithelial to mesenchymal transition
Acropora_007270,diphosphoinositol-pentakisphosphate kinase activity
Acropora_007271,NA
Acropora_007273,NA
Acropora_007286,fibroblast growth factor-activated receptor activity
Acropora_007316,NA
Acropora_007324,neurotransmitter:sodium symporter activity
Acropora_007327,dUTP diphosphatase activity
Acropora_007331,NA
Acropora_007385,NA
Acropora_007394,NA
Acropora_007402,NA
Acropora_007411,NA
Acropora_007417,NA
Acropora_007431,NA
Acropora_007434,NA
Acropora_007472,NA
Acropora_007482,Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. SETD3 subfamily
Acropora_007497,NA
Acropora_007505,early viral transcription
Acropora_007509,NA
Acropora_007510,Zinc finger protein 593
Acropora_007511,Rho GTPase activating protein 1
Acropora_007520,two pore calcium channel protein
Acropora_007569,recycling endosome to Golgi transport
Acropora_007574,NA
Acropora_007597,Mitogen-activated protein kinase 8 interacting protein 1
Acropora_007610,NA
Acropora_007630,cilium assembly
Acropora_007631,NA
Acropora_007644,regulation of lipid kinase activity
Acropora_007667,G-protein coupled receptor activity
Acropora_007672,DNA binding
Acropora_007679,NA
Acropora_007684,NA
Acropora_007691,NA
Acropora_007693,Rho-related BTB
Acropora_007717,RNA polymerase II transcription corepressor binding
Acropora_007749,NA
Acropora_007759,NA
Acropora_007788,Cilia and flagella associated protein 46
Acropora_007801,cellular response to calcium ion
Acropora_007810,regulation of phosphoprotein phosphatase activity
Acropora_007850,Glycine-rich domain-containing protein-like
Acropora_007852,NA
Acropora_007869,Belongs to the peptidase S1 family
Acropora_007874,transportin 3
Acropora_007876,NA
Acropora_007878,G-protein coupled receptor activity
Acropora_007887,poly(A)-specific ribonuclease activity
Acropora_007892,NA
Acropora_007901,bHLH transcription factor binding
Acropora_007939,ribosomal protein S35
Acropora_007948,glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity
Acropora_007969,protein with multiple splicing
Acropora_007971,Ankyrin repeat
Acropora_007985,NA
Acropora_007989,Integral membrane protein DUF92
Acropora_007995,carboxypeptidase Q
Acropora_008008,NA
Acropora_008014,NA
Acropora_008017,Carbonic anhydrase
Acropora_008057,AAA domain
Acropora_008061,NA
Acropora_008074,protein-glutamine gamma-glutamyltransferase activity
Acropora_008079,NA
Acropora_008091,"hydrolase activity, acting on ester bonds"
Acropora_008094,NA
Acropora_008104,NA
Acropora_008116,NA
Acropora_008125,"mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity"
Acropora_008127,positive regulation of fertilization
Acropora_008141,NA
Acropora_008149,actin filament binding
Acropora_008159,NA
Acropora_008180,transmembrane transport
Acropora_008188,NA
Acropora_008189,Universal stress protein family
Acropora_008206,cGMP-dependent protein kinase activity
Acropora_008213,calcium ion-regulated exocytosis of neurotransmitter
Acropora_008214,NA
Acropora_008216,NA
Acropora_008220,phosphatidylserine binding
Acropora_008228,protein localization to phagophore assembly site
Acropora_008239,Synaptonemal complex protein 1
Acropora_008244,NA
Acropora_008259,Synaptobrevin
Acropora_008264,xylosylprotein 4-beta-galactosyltransferase activity
Acropora_008271,NA
Acropora_008279,NA
Acropora_008422,Phosphatidylethanolamine-binding protein
Acropora_008424,NA
Acropora_008442,NA
Acropora_008448,high-affinity glutamate transmembrane transporter activity
Acropora_008452,NA
Acropora_008466,Hairy and enhancer of split-related protein helt
Acropora_008480,regulation of vesicle fusion
Acropora_008513,deacetylase activity
Acropora_008525,NA
Acropora_008529,hAT family C-terminal dimerisation region
Acropora_008531,heme binding
Acropora_008545,NA
Acropora_008548,NA
Acropora_008553,Transcription factor
Acropora_008573,NA
Acropora_008598,NA
Acropora_008599,peptidylprolyl
Acropora_008637,NA
Acropora_008638,1-phosphatidylinositol-4-phosphate 5-kinase activity
Acropora_008641,"aspartic endopeptidase activity, intramembrane cleaving"
Acropora_008642,NA
Acropora_008644,NA
Acropora_008648,"Lectin, mannose-binding 1"
Acropora_008651,NA
Acropora_008658,NA
Acropora_008661,metalloaminopeptidase activity
Acropora_008663,cell cycle
Acropora_008720,-
Acropora_008759,NA
Acropora_008771,Golgi vesicle fusion to target membrane
Acropora_008791,NA
Acropora_008800,-
Acropora_008815,Leucine-rich repeat-containing protein C10orf11 homolog
Acropora_008819,NA
Acropora_008835,carbohydrate binding
Acropora_008838,"Glycosyl hydrolases family 2, TIM barrel domain"
Acropora_008845,RNA polymerase II sequence-specific DNA-binding transcription factor binding
Acropora_008862,mitogen-activated protein kinase kinase binding
Acropora_008896,fibroblast growth factor-activated receptor activity
Acropora_008901,C-Jun-amino-terminal kinase-interacting protein
Acropora_008919,NA
Acropora_008924,NA
Acropora_008969,Protein similar to CwfJ C-terminus 1
Acropora_008984,NA
Acropora_009004,calcium ion binding
Acropora_009010,embryonic heart tube elongation
Acropora_009012,NA
Acropora_009019,galanin-activated signaling pathway
Acropora_009020,G-protein coupled receptor activity
Acropora_009036,oxidoreductase activity
Acropora_009040,Beta-lactamase
Acropora_009041,NA
Acropora_009077,NA
Acropora_009085,Belongs to the small GTPase superfamily. SAR1 family
Acropora_009095,metalloendopeptidase activity
Acropora_009096,dioxygenase activity
Acropora_009111,metalloendopeptidase activity
Acropora_009134,4-hydroxybenzoate decaprenyltransferase activity
Acropora_009154,Belongs to the class-I aminoacyl-tRNA synthetase family
Acropora_009183,O-methyltransferase-like
Acropora_009187,NA
Acropora_009211,NA
Acropora_009232,gamma-aminobutyric acid type B receptor subunit
Acropora_009254,"regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
Acropora_009260,negative regulation of thymidylate synthase biosynthetic process
Acropora_009265,Anaphase-promoting complex subunit 11 RING-H2 finger
Acropora_009321,NA
Acropora_009323,acetylserotonin O-methyltransferase activity
Acropora_009326,NA
Acropora_009341,NA
Acropora_009342,"Domain first found in C1r, C1s, uEGF, and bone morphogenetic protein."
Acropora_009348,NA
Acropora_009351,NA
Acropora_009376,NA
Acropora_009403,zinc ion binding
Acropora_009414,Serpentine type 7TM GPCR chemoreceptor Srsx
Acropora_009419,NA
Acropora_009426,NA
Acropora_009427,NA
Acropora_009466,endopeptidase inhibitor activity
Acropora_009470,Glycosyl transferase
Acropora_009488,ATP-dependent chromatin remodeling
Acropora_009490,Sister chromatid cohesion protein PDS5 homolog
Acropora_009493,G-protein coupled receptor activity
Acropora_009534,NA
Acropora_009572,NA
Acropora_009575,positive regulation of delayed rectifier potassium channel activity
Acropora_009576,UFM1 hydrolase activity
Acropora_009615,NA
Acropora_009619,NA
Acropora_009635,NA
Acropora_009652,NA
Acropora_009661,DDE superfamily endonuclease
Acropora_009736,"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Acropora_009750,NA
Acropora_009753,NA
Acropora_009761,NA
Acropora_009768,GCN5-related N-acetyl-transferase
Acropora_009807,NA
Acropora_009809,NA
Acropora_009812,tRNA methyltransferase activity
Acropora_009822,NA
Acropora_009844,NA
Acropora_009878,NA
